AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
18,B,M,2021/01/01 00:00:00+00,1701,LO9200031,1,C0-117503,5717 O ST,,,2112,NEGLIGENT DRIVING,C,161
18,B,M,2021/01/01 00:00:00+00,1701,LO9200031,2,C0-117503,5717 O ST,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,162
20,B,M,2021/01/02 00:00:00+00,1737,LO2900023,1,C1-000491,1801 N,,,2127,MINOR MISREPRESENTING AGE,C,163
28,W,F,2021/01/02 00:00:00+00,1815,LO4400004,1,C1-000503,25TH/ O ST,,,2110,CARELESS DRIVING SO AS TO ENDANGER,C,164
28,W,F,2021/01/02 00:00:00+00,1815,LO4400004,2,C1-000503,25TH/ O ST,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,165
26,W,F,2021/01/02 00:00:00+00,1930,LO6700024,1,,27TH AND O STREE,T,,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,166
23,H,F,2021/01/03 00:00:00+00,2342,LO1100037,1,,ADAMS ST/1ST ST,,,2167,IMPROPER REGISTRATION,C,167
23,H,F,2021/01/03 00:00:00+00,2342,LO1100037,2,,ADAMS ST/1ST ST,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,168
20,B,M,2021/01/03 00:00:00+00,116,LO1100038,1,C1-000588,ADAMS ST/N 1ST S,T,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,169
20,B,M,2021/01/03 00:00:00+00,116,LO1100038,2,C1-000588,ADAMS ST/N 1ST S,T,,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,170
20,B,M,2021/01/03 00:00:00+00,116,LO1100038,3,C1-000588,ADAMS ST/N 1ST S,T,,1556,OCCUPANT PROTECTION SYSTEM,C,171
20,B,M,2021/01/03 00:00:00+00,116,LO1100038,4,C1-000588,ADAMS ST/N 1ST S,T,,2112,NEGLIGENT DRIVING,C,172
